X,GeneID,MajorityProteinIDs,logFC_RIK.CTRL,adjpval_RIK.CTRL
1,ABCD3,P28288,5.66,8.04e-08
2,ABCF2,Q9UG63,3.1,2.62e-06
3,ACACA,Q13085,7.54,6.7e-09
4,AKAP8L,Q9ULX6,3.88,2.88e-07
5,APP,P05067,8.19,1.66e-10
6,ARFGEF2,Q9Y6D5,7.73,2.47e-09
7,ASPM,Q8IZT6,9.65,5.13e-11
8,ATAD1,Q8NBU5,7.16,2.1e-11
9,ATAD3A,Q9NVI7,4.02,1.81e-08
10,ATP1A1,P05023,1.67,2.33e-06
11,BRCA2,P51587,8.24,9.62e-13
12,C5,P01031,7.23,1.34e-08
13,C9,P02748,7.55,8.04e-06
14,CAD,P27708,5.06,9.94e-08
15,KNL1,Q8NG31,10.3,3.54e-12
16,NOCT,Q9UK39,7.36,3.53e-13
17,CDC73,Q6P1J9,7.28,3.92e-08
18,CHAMP1,Q96JM3,10.7,4.55e-13
19,CHCHD4,Q8N4Q1,7.23,9.62e-13
20,CLPB,Q9H078,6.1,5.49e-09
21,DERL1,Q9BUN8,6.9,6.69e-11
22,DNAJA1,P31689,2.04,6.43e-06
23,DNAJC11,Q9NVH1,9.54,1.21e-13
24,DSN1,Q9H410,7.47,2.99e-12
25,DYNC2LI1,Q8TCX1,8.54,5.37e-09
26,EMD,P50402,3.99,2.52e-06
27,ERCC2,P18074,7.75,1.71e-13
28,FARSA,Q9Y285,2.25,7.81e-07
29,FAT1,Q14517,7.35,3.08e-12
30,FBXO45,P0C2W1,12.3,1.21e-13
31,IFT22,Q9H7X7,12.5,2.02e-07
32,IFT27,Q9BW83,12.9,4.65e-13
33,IFT46,Q9NQC8,14.1,1.21e-13
34,IFT52,Q9Y366,14.1,1.21e-13
35,IFT81,Q8WYA0,13.2,9.06e-06
36,IMMT,Q16891,2,5.15e-07
37,IRS4,O14654,3.42,2.02e-07
38,KBTBD6,Q86V97,7.2,1.81e-08
39,LMNB1,P20700,2.68,6.43e-06
40,LRP2,P98164,7.3,1.57e-08
41,MYCBP2,O75592,7.28,1.45e-10
42,NDUFS8,O00217,7.23,4.98e-12
43,NUP205,Q92621,3.74,3.71e-08
44,P4HA2,O15460,8.22,1.71e-13
45,PGAM5,Q96HS1,6.13,1.15e-09
46,PJA2,O43164,7.31,7.03e-08
47,POLE,Q07864,9.29,3e-11
48,PPP6R1,Q9UPN7,6.78,5.1e-10
49,PRKAR1A,P10644,9.08,6.43e-06
50,RAE1,P78406,4.94,9.81e-11
51,RAF1,P04049,8.59,1.93e-13
52,RCN2,Q14257,4.54,6.64e-10
53,RPN1,P04843,1.95,5.67e-06
54,RPS27,P42677,1.9,2.7e-06
55,SAMHD1,Q9Y3Z3,3.26,3e-06
56,SENP1,Q9P0U3,7.52,2.6e-12
57,SKP1,P63208,3.17,7.75e-06
58,SLC25A11,Q02978,1.56,7.62e-06
59,SLC25A13,Q9UJS0,2.43,6.43e-06
60,SLC25A3,Q00325,2.3,7.87e-07
61,SPRYD3,Q8NCJ5,11.3,1.21e-13
62,TMEM209,Q96SK2,7.27,4.09e-12
63,IFT56,A0AVF1,14.5,3.53e-13
64,IFT70A,Q86WT1,12.7,2.24e-13
65,TUBB4B,P68371,1.8,4.17e-06
66,VANGL1,Q8TAA9,6.69,4.4e-09
67,XPR1,Q9UBH6,10.7,2.16e-12
68,ZBTB10,Q96DT7,8.75,6.94e-09
69,ZNF143,P52747,8.04,3.69e-11
70,ZNF281,Q9Y2X9,8.53,3.05e-09
71,ZNF629,Q9UEG4,7.72,8.66e-10
72,ZNF655,Q8N720,7.01,8.04e-08
73,1672,1672,12.2,0.000231353
74,AAR2,Q9Y312,5,0.022881502
75,AASDHPPT,Q9NRN7,2.21,0.177625967
76,ABCE1,P61221,0.626,0.586732723
77,ABCF1,Q8NE71,-1.63,0.054260744
78,ACAD11,Q709F0,7.24,0.000563294
79,ACADM,P11310,0.662,0.083121462
80,ACADSB,P45954,3.47,0.101810347
81,ACSL3,O95573,5.03,0.008824239
82,ACTA1,P68133,1.07,0.000993305
83,ACTB,P60709,0.657,0.8282222
84,ACTG1,P63261,0.998,0.002185184
85,ACTL6A,O96019,-0.7,0.135856038
86,ACTR1A,P61163,2.47,0.194955494
87,ACTR2,P61160,2.82,0.078264201
88,ADAR,P55265,-1.91,0.000852192
89,COQ8A,Q8NI60,5.47,0.016978585
90,ADNP,Q9H2P0,4.19,0.066470968
91,AFG3L2,Q9Y4W6,4.12,0.031355602
92,AGK,Q53H12,1.57,2.14e-05
93,AGL,P35573,-1.9,0.22765407
94,AGO2,Q9UKV8,-1.78,0.006976131
95,AGO3,Q9H9G7,-2.22,0.070346146
96,AHCY,P23526,-1.3,0.004359958
97,AIFM1,O95831,0.976,0.021814754
98,AIMP1,Q12904,-0.429,0.201274678
99,AIMP2,Q13155,2.3,0.213336003
100,AKAP11,Q9UKA4,4.82,0.037561119
101,AKAP13,Q12802,-0.624,0.096164593
102,AKAP8,O43823,4.27,0.003648265
103,AKAP9,Q99996,2.36,0.32579057
104,ALDH18A1,P54886,2.82,0.204181673
105,ALDH1B1,P30837,1.73,4.42e-05
106,ALDH2,P05091,4.47,0.018313324
107,ALYREF,Q86V81,-0.863,0.005463075
108,ANKRD28,O15084,5.92,0.000225642
109,APLP2,Q06481,4.33,0.037205177
110,ARCN1,P48444,6,0.001585861
111,ARF1,P84077,0.0211,0.944414174
112,ARF4,P18085,0.863,0.044865177
113,ARF5,P84085,3.03,0.099060492
114,ARL1,P40616,2.45,0.094014975
115,ARL10,Q8N8L6,5.71,0.001297902
116,ASCC3,Q8N3C0,3.96,0.017623797
117,ATAD3B,Q5T9A4,3.6,1.04e-05
118,ATAD5,Q96QE3,0.609,0.822027068
119,ATP12A,P54707,6.32,0.001278413
120,ATP2A2,P16615,1.39,0.00064403
121,ATP5F1A,P25705,0.866,0.001208311
122,ATP5F1B,P06576,0.232,0.306020234
123,ATP5F1C,P36542,1.81,1.04e-05
124,ATP5PB,P24539,2.07,0.206528796
125,ATP5PD,O75947,1.3,0.004202327
126,ATP5ME,P56385,-0.437,0.682002993
127,ATP5PF,P18859,0.111,0.959578958
128,ATP5MF,P56134,2.34,0.20983449
129,ATP5MG,O75964,-0.675,0.029187975
130,ATP5PO,P48047,0.481,0.101021392
131,ATP6V1H,Q9UI12,-0.59,0.805928899
132,ATXN2L,Q8WWM7,-0.43,0.896070268
133,AUP1,Q9Y679,5.96,0.001373777
134,AURKB,Q96GD4,4.83,0.036748979
135,BAG2,O95816,1.11,0.004083053
136,BAG4,O95429,-1.13,0.077602726
137,BCKDHA,P12694,3.34,0.099060492
138,BCLAF1,Q9NYF8,-1.59,0.076602088
139,BHLHE22,Q8NFJ8,6.77,0.001896106
140,BOLA2,Q9H3K6,-2.14,0.002525548
141,BRIX1,Q8TDN6,0.324,0.887922385
142,BSG,P35613,0.697,0.024457431
143,BTF3,P20290,-5.13,0.043596902
144,RTRAF,Q9Y224,-1.34,0.000880856
145,TIMM29,Q9BSF4,2,0.392630896
146,C1QBP,Q07021,1.03,0.035783467
147,C7orf50,Q9BRJ6,-1.09,0.670685704
148,CALML5,Q9NZT1,-0.275,0.898726501
149,CALR,P27797,-1.67,0.465820756
150,CALU,O43852,3.18,8.54e-05
151,CAND1,Q86VP6,-0.811,0.019409771
152,CANX,P27824,-0.0307,0.939593766
153,CAPRIN1,Q14444,-0.775,0.037777433
154,CAPZA1,P52907,1.92,0.340242397
155,CARM1,Q86X55,-1.28,0.137395744
156,ZNG1B,Q8IUF1,6.01,0.000450171
157,CBX3,Q13185,1.41,0.462138178
158,CCDC124,Q96CT7,-5.44,0.009440831
159,CCDC47,Q96A33,1.92,0.13258676
160,CCT2,P78371,-1.08,0.171798512
161,CCT3,P49368,0.935,0.01886226
162,CCT4,P50991,0.0765,0.920466639
163,CCT5,P48643,0.585,0.059307758
164,CCT6A,P40227,-0.272,0.573532441
165,CCT7,Q99832,-1.24,0.191691997
166,CCT8,P50990,-0.0289,0.935278091
167,CDC42EP1,Q00587,7.14,0.002110133
168,CDC45,O75419,5.59,0.007535499
169,CDC5L,Q99459,1.27,0.60264118
170,CDK1,P06493,0.762,0.040723436
