X,GeneID,MajorityProteinIDs,pval_DVL3.CTRL,pval_PRICKLE1.CTRL,pval_ROR1.CTRL,pval_ROR2.CTRL,pval_VANGL2.CTRL,adjpval_DVL3.CTRL,adjpval_PRICKLE1.CTRL,adjpval_ROR1.CTRL,adjpval_ROR2.CTRL,adjpval_VANGL2.CTRL,logFC_DVL3.CTRL,logFC_PRICKLE1.CTRL,logFC_ROR1.CTRL,logFC_ROR2.CTRL,logFC_VANGL2.CTRL
1,ACOT1,Q86TX2,0.020203318,4.3e-07,0.765624085,0.39391542,6.49e-08,0.815,0.622,0.952,0.881,0.0116,1.83,4.67,-0.226,0.649,5.14
2,ACSL3,O95573,0.746005369,0.074722862,0.922279205,0.112262366,6.05e-09,0.927,0.9,0.956,0.834,0.00305,-0.168,0.944,0.0505,0.837,3.93
3,ADCY9,O60503,0.064527059,0.230153502,0.322497595,0.08311273,4.63e-10,0.858,0.913,0.932,0.822,0.000644,-1.25,-0.798,-0.655,-1.17,5.59
4,ADD1,P35611,0.274735685,0.184824132,0.001509142,6.98e-10,0.878689168,0.902,0.911,0.639,0.00352,0.9,0.78,0.951,2.42,5.91,0.108
5,ADD3,Q9UEY8,0.005327981,5.67e-09,1.24e-09,4.66e-16,9.93e-05,0.753,0.427,0.000722,4.13e-08,0.266,1.48,3.82,4.09,7.1,2.19
6,AHNAK2,Q8IVF2,4.02e-08,9.04e-15,7.55e-12,2e-15,1.03e-09,0.0457,0.0234,9.86e-06,1.99e-07,0.00108,4.73,8.72,6.82,9.18,5.59
7,AIP,O00170,0.071768525,0.43797363,0.467352067,0.633384485,1.19e-07,0.862,0.921,0.941,0.897,0.0161,-1.05,-0.444,-0.416,-0.273,3.76
8,AKAP12,Q02952,0.518611349,2.91e-11,1.1e-09,9.49e-16,0.008811099,0.918,0.182,0.000671,8.73e-08,0.645,0.414,6.09,5.24,8.86,1.76
9,AKAP5,P24588,0.083584981,0.252185718,0.148782162,1.39e-08,0.996509124,0.867,0.915,0.911,0.0155,0.905,0.803,0.525,0.665,3.32,0.00199
10,ALDH3A2,P51648,0.432282813,0.18175273,0.854131033,0.438861969,1.83e-12,0.913,0.911,0.954,0.885,9.13e-06,0.605,1.04,-0.141,0.597,8.12
