X,GeneID,MajorityProteinIDs,U1,S1,B1,U2,S2,B2,U3,S3,B3,U4,S4,B4,U5,S5,B5,U6,S6,B6,U7,S7,B7,U8,S8,B8,U9,S9,B9,U10,S10,B10,U11,S11,B11,C1,C2,C3,C4,C5
1,NUDT11,Q96G61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25724,0
2,IGKV3-7,A0A075B6H7,0,97037,81343,0,74256,112540,0,74448,31880,157350,130020,40195,0,166720,0,0,48783,171540,228820,88724,288170,455300,66916,2598100,89085,38641,0,299870,125000,1199000,304600,76545,12382,0,345220,0,0,0
3,IGLV4-69,A0A075B6H9,113330,143150,474950,612090,395070,1079800,82139,0,504900,1615200,4903.3,378350,507460,277560,1108600,514520,0,399700,724870,0,259010,878240,0,287030,1335000,0,224690,2580400,150710,362730,392020,54660,548320,143180,96316,321370,94677,0
4,IGLV8-61,A0A075B6I0,0,269520,293630,0,119360,35115,0,49718,55937,20017,72070,28678,0,111790,0,0,0,72030,34085,0,352430,43797,0,223550,3211.7,104710,97723,52428,39773,351740,30732,67270,35238,0,243900,0,0,0
5,IGLV4-60,A0A075B6I1,0,38946,83112,0,0,0,0,0,80914,0,0,0,35624,34029,87653,0,0,95685,69325,0,55940,44685,0,0,0,0,0,289010,0,91565,70780,10866,40779,119090,0,0,0,0
6,IGLV10-54,A0A075B6I4,0,103280,0,573110,0,339850,0,0,0,27368,0,0,0,0,0,554400,0,27885,57203,0,13973,33611,0,0,15922,0,0,273030,0,0,71671,28606,69737,63045,0,0,0,0
7,IGLV7-46,A0A075B6I9,0,0,568010,0,0,484060,0,0,71088,0,0,0,0,51698,0,0,0,0,0,0,0,218230,0,133420,0,0,473600,751090,0,475990,380660,0,0,0,481540,0,0,185450
8,IGLV5-37,A0A075B6J1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2595.1,0,0,0,157910,0
9,IGLV2-18,A0A075B6J9,0,0,0,0,60589,0,0,0,136320,173930,174810,406890,0,281850,0,0,0,0,94413,53050,180460,131700,0,87473,21648,0,0,46307,0,69359,87390,0,0,79441,69539,112650,0,0
10,IGLV3-16,A0A075B6K0,0,187860,0,995940,0,954900,269440,0,494690,285860,0,1263700,1241200,300280,2604100,1503900,0,0,219260,0,300360,208690,46172,491530,74106,0,187750,571130,0,920460,261210,183620,1108000,0,52358,0,1675200,323310
11,IGLV3-12,A0A075B6K2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6121.6,0,0,0,0,0,0,60678,0,57645,0,0,37503,0,0,0,0,0
12,IGLV3-10,A0A075B6K4,72812,0,2025500,1659000,0,5191600,0,0,280510,584570,0,2070800,339960,955330,810320,971120,0,3e+05,1819800,0,3103400,1369600,0,595430,521520,0,2804000,2795000,204060,1871400,2433300,157570,81163,942390,240790,1296100,0,1944700
13,IGLV3-9,A0A075B6K5,630210,58412,1791900,100160,184210,1344700,0,367760,1196400,714550,18960,261570,1072200,1342700,2621700,51631,0,484070,3699200,125030,1455400,807460,412060,3303400,6892600,650830,908690,1977000,376540,931180,915110,513240,1452500,428160,224070,0,0,201680
14,IGKV2D-28,A0A075B6P5,30689,0,0,102670,0,158420,0,0,0,85344,0,0,0,0,27503,0,0,0,21064,0,0,111230,0,0,43230,0,0,78154,0,0,107800,0,0,46520,49230,0,0,0
