X,GeneID,MajorityProteinIDs,pval_CK1a.ctrl,pval_CK1aL.ctrl,pval_CK1d.ctrl,pval_CK1e.ctrl,pval_DVL3.ctrl,adjpval_CK1a.ctrl,adjpval_CK1aL.ctrl,adjpval_CK1d.ctrl,adjpval_CK1e.ctrl,adjpval_DVL3.ctrl,logFC_CK1a.ctrl,logFC_CK1aL.ctrl,logFC_CK1d.ctrl,logFC_CK1e.ctrl,logFC_DVL3.ctrl
1,ABCD3,P28288,1.57e-05,0.003053556,0.000169093,0.438738268,1.1e-07,0.0182,0.517,0.283,0.843,0.0409,0.378,0.244,0.32,0.0608,0.493
2,ABCF2,Q9UG63,0.012907732,2.01e-12,5.54e-10,0.001661667,0.00025063,0.493,5.81e-06,0.00335,0.265,0.386,0.173,0.646,0.528,0.224,0.266
3,ACOT7,O00154,0.872499824,0.372665953,5.31e-14,0.00035867,0.798058776,0.925,0.888,1.33e-05,0.154,0.909,0.00965,0.0538,-0.651,-0.231,-0.0154
4,ACSS1,Q9NUB1,0.358294144,0.067786301,0.103873786,0.12516512,4.03e-13,0.875,0.795,0.765,0.744,7.56e-05,-0.0991,-0.2,-0.177,0.167,-1.09
5,AFTPH,Q6ULP2,2.14e-08,0.031478934,3.89e-07,3.28e-07,0.399027188,8.74e-05,0.738,0.053,0.00557,0.883,-1.88,0.612,-1.64,-1.66,-0.234
6,AGFG1,P52594,0.000197538,0.0176661,1.03e-07,1.81e-09,0.184354345,0.0869,0.69,0.0334,0.00016,0.852,-0.272,-0.165,-0.426,-0.506,-0.0902
7,AGK,Q53H12,0.020509938,1.27e-09,7.54e-08,6.65e-09,0.007503535,0.562,0.000955,0.0297,0.000431,0.666,0.182,0.581,0.488,0.543,0.212
8,AGO1,Q9UL18,0.001857152,2.06e-06,6.36e-06,0.203855652,1.27e-09,0.243,0.0462,0.127,0.786,0.00705,0.504,0.832,0.78,0.196,1.17
9,AGO2,Q9UKV8,1.33e-09,2.91e-17,4.07e-05,0.000749735,2.52e-21,6.74e-06,7.93e-12,0.211,0.2,6.53e-14,0.561,0.995,0.334,0.266,1.28
10,AGO3,Q9H9G7,5.04e-10,3.46e-18,2.69e-15,0.003374563,6.13e-21,2.57e-06,2.64e-13,1.02e-06,0.339,6.53e-14,0.652,1.18,0.977,0.254,1.4
11,AGPAT3,Q9NRZ7,0.529725818,0.029580959,5.45e-05,2.4e-08,0.058001736,0.899,0.733,0.225,0.00109,0.796,0.0939,0.333,0.663,1.01,0.288
12,AGPS,O00116,0.467889923,0.258739356,3.05e-07,1.85e-05,0.989540987,0.892,0.871,0.0488,0.0425,0.917,0.0491,0.0768,0.405,0.322,-0.000884
13,AHCYL1,O43865,0.57964047,1.73e-06,0.015784032,0.953896359,0.856468587,0.904,0.0433,0.638,0.891,0.911,0.101,1,0.455,0.0105,-0.033
14,AHNAK,Q09666,2.55e-05,0.006257749,1.49e-08,8.85e-06,0.019895084,0.0246,0.591,0.0156,0.0306,0.733,-1.5,-0.916,-2.21,-1.61,-0.771
15,AHR,P35869,1.38e-07,2.61e-09,1.94e-12,4.26e-12,2.04e-05,0.000463,0.00147,0.000155,6.36e-07,0.202,0.522,0.621,0.807,0.786,0.398
16,AHSA1,O95433,0.438936947,2.16e-07,0.000859903,0.579824961,0.284284367,0.888,0.0169,0.402,0.861,0.87,-0.0562,0.442,0.258,-0.0401,-0.078
17,AIFM1,O95831,0.214614131,0.001078967,0.477668437,0.031068364,4e-10,0.837,0.406,0.848,0.6,0.00423,0.152,0.421,0.0862,-0.268,0.966
