X,GeneID,MajorityProteinIDs,pval_ctrl_wnt3a.ctrl,pval_Fzd.ctrl,pval_Fzd_wnt3a.ctrl_wnt3a,pval_Fzd_wnt3a.Fzd,pval_Fzd_wnt5a.Fzd,adjpval_ctrl_wnt3a.ctrl,adjpval_Fzd.ctrl,adjpval_Fzd_wnt3a.ctrl_wnt3a,adjpval_Fzd_wnt3a.Fzd,adjpval_Fzd_wnt5a.Fzd,logFC_ctrl_wnt3a.ctrl,logFC_Fzd.ctrl,logFC_Fzd_wnt3a.ctrl_wnt3a,logFC_Fzd_wnt3a.Fzd,logFC_Fzd_wnt5a.Fzd
1,SEPTIN11,,0.822949379,3.34e-07,6.11e-06,0.169368287,0.287153236,0.951,0.0352,0.135,0.918,0.933,0.177,6.35,5.06,-1.12,-0.854
2,SEPTIN2 /// SEPTIN6,,0.393675584,9.95e-08,6.63e-06,0.130410435,0.158185085,0.888,0.0166,0.14,0.895,0.885,0.347,3.54,2.56,-0.63,-0.585
3,SEPTIN7,,0.847542028,1.14e-08,1.03e-07,0.107940995,0.244398591,0.953,0.00357,0.0141,0.874,0.923,-0.0637,3.4,2.91,-0.555,-0.394
4,ACACA,Q13085,0.507105353,9.86e-08,8.11e-07,0.065166536,0.436292071,0.916,0.0165,0.0506,0.799,0.955,-0.194,2.56,2.19,-0.565,-0.228
5,ACACB,O00763,0.807290294,7.1e-08,9.27e-07,0.197762429,0.509651664,0.95,0.0134,0.0544,0.929,0.961,0.128,4.73,3.91,-0.692,-0.348
6,ACTG1,P63261,0.483903152,3.05e-08,3.49e-08,0.54142908,0.874026325,0.911,0.00752,0.0067,0.973,0.976,0.0787,1.07,1.06,0.0685,0.0177
7,ADD3,Q9UEY8,0.686011602,1.04e-06,7.34e-07,0.837053496,0.33972463,0.94,0.0694,0.0479,0.982,0.943,-0.0809,1.48,1.52,-0.0411,-0.193
8,ADNP,Q9H2P0,0.101392381,2.18e-07,1.09e-06,0.452150449,0.758194948,0.555,0.027,0.0593,0.967,0.973,-0.131,-0.636,-0.563,-0.058,-0.0236
9,AGPS,O00116,0.797106649,1.99e-08,1.11e-07,0.384513432,0.034978386,0.949,0.00543,0.0147,0.962,0.589,0.0221,0.849,0.751,-0.0757,-0.195
10,AMOT,Q4VCS5,0.949344606,5.76e-10,3.56e-09,0.144200934,0.253951683,0.958,1e-04,0.000769,0.904,0.925,-0.0316,6.24,5.52,-0.75,-0.578
11,ANK2,Q01484,0.002637107,0.285453698,0.007986388,0.567353301,0.861566278,0.0145,0.891,0.783,0.974,0.976,-1.53,-0.478,1.3,0.253,-0.0766
12,ANK3,Q12955,0.037601111,1.71e-07,4.24e-08,0.194820424,0.22538857,0.26,0.0234,0.00767,0.928,0.917,-1.06,4.03,4.46,-0.634,-0.591
13,AS3MT,Q9HBK9,0.846240443,2.35e-09,3.23e-09,0.95986125,0.362577496,0.953,0.000626,0.000696,0.984,0.946,0.029,1.71,1.67,-0.00751,-0.138
14,ASS1,P00966,0.769794585,2.69e-07,3.85e-07,0.939586505,0.510513713,0.947,0.0308,0.0321,0.984,0.961,-0.0437,-1.22,-1.19,-0.0113,0.0989
15,ATP13A1,Q9HD20,0.436786196,8.96e-07,1.07e-07,0.051706812,0.328893143,0.9,0.0643,0.0144,0.753,0.941,0.126,1.2,1.4,0.331,0.159
16,ATXN1L,P0C7T5,0.006305822,0.003696434,0.075159884,0.046700436,0.132262316,0.0461,0.699,0.875,0.73,0.864,-1.1,-1.19,0.668,0.757,0.557
17,BCAP31,P51572,0.963743723,1.3e-11,5.52e-11,0.176481182,0.259846544,0.959,6.88e-08,1.07e-06,0.921,0.927,0.0213,7.54,6.87,-0.652,-0.538
18,BCLAF1,Q9NYF8,0.795055283,2.74e-08,2.71e-07,0.235681076,0.35832552,0.949,0.00694,0.0259,0.94,0.946,-0.105,-3.91,-3.31,0.491,0.377
19,BIRC6,Q9NR09,0.400691766,1.07e-06,2.52e-07,0.999828095,0.545794582,0.89,0.0703,0.0248,0.985,0.963,-0.0785,0.682,0.76,-1.99E-05,-0.0561
20,MEIOC,A2RUB1,0.268691888,7.78e-08,7.22e-09,0.616881965,0.490591932,0.828,0.0142,0.00164,0.976,0.959,-0.671,5.34,6.31,0.299,0.414
21,TIMM29,Q9BSF4,0.927909198,0.004333072,0.258731223,0.000434393,0.123583344,0.957,0.709,0.909,0.00962,0.855,0.0211,0.76,-0.269,-1.01,-0.373
22,C2CD3,Q4AC94,0.001223396,0.00378939,0.156527575,0.352744737,0.483305612,0.0047,0.7,0.896,0.959,0.959,3.27,2.83,-1.25,-0.803,-0.602
23,C6orf120,Q7Z4R8,0.666032162,5.05e-05,1.66e-07,0.002162457,0.44366087,0.938,0.3,0.019,0.0922,0.955,-0.213,-2.63,-4.18,-1.76,0.381
24,CA2,P00918,0.501851217,2.46e-10,1.17e-10,0.988615651,0.947436349,0.915,2.89e-05,4.96e-06,0.984,0.978,-0.226,4.45,4.67,-0.00477,0.0221
25,CAD,P27708,0.669461197,4.72e-08,2.7e-07,0.502485394,0.559356319,0.938,0.0102,0.0259,0.971,0.964,0.0337,0.732,0.645,-0.0532,-0.0462
26,CBS,P35520,0.654419645,7.07e-11,2.86e-11,0.673777579,0.080781614,0.937,2.75e-06,2.93e-07,0.978,0.789,0.0898,-2.88,-3.06,-0.0844,0.366
27,CC2D1A,Q6P1N0,0.003638477,9.73e-05,1.71e-07,0.913326313,0.46702479,0.0234,0.367,0.0193,0.983,0.958,-2.08,3.13,5.28,0.0678,-0.457
28,CDC37,Q16543,0.171302607,9.36e-08,1.87e-06,0.7076552,0.69739865,0.724,0.0159,0.0795,0.979,0.971,0.708,4.44,3.55,-0.189,-0.196
29,CDKAL1,Q5VV42,0.004544155,0.002138941,2.92e-06,0.996380164,0.468968254,0.0303,0.659,0.0981,0.984,0.958,-1.69,1.87,3.57,0.00237,-0.382
30,CHAMP1,Q96JM3,0.243069213,7.78e-08,1.89e-06,0.476336927,0.156996906,0.809,0.0142,0.08,0.969,0.884,-0.479,-3.6,-2.84,0.289,-0.587
31,CNN2,Q99439,0.646539708,1.96e-08,1.12e-07,0.493406631,0.870841386,0.936,0.00539,0.0147,0.97,0.976,-0.188,-4.04,-3.57,0.282,0.0666
32,CPNE1,Q99829,0.485442564,8.13e-08,2.9e-07,0.147784541,0.811167496,0.911,0.0145,0.027,0.906,0.974,0.16,-2.03,-1.85,0.34,-0.0544
33,CPVL,Q9H3G5,0.00610928,0.31855158,0.51273747,0.002837677,0.626440416,0.0445,0.894,0.924,0.122,0.968,-1.46,0.478,0.311,-1.63,-0.23
34,CRMP1,Q14194,0.781045264,3.69e-11,1.36e-11,0.212053538,0.110716767,0.948,7.16e-07,5.35e-08,0.934,0.84,-0.102,-5.52,-5.89,-0.469,-0.61
35,CTPS1,P17812,0.894720603,3.08e-07,4.01e-06,0.124630092,0.415212785,0.955,0.0336,0.113,0.89,0.953,0.0248,-1.52,-1.25,0.299,0.155
36,STEEP1,Q9H5V9,0.110599831,1.8e-07,3.4e-06,0.968586712,0.002454386,0.586,0.0241,0.105,0.984,0.0943,-0.728,-3.7,-2.95,0.0173,-1.54
37,DAD1,P61803,0.105166821,0.001145416,0.003196836,0.042876594,0.001164838,0.568,0.609,0.728,0.71,0.0443,0.133,-0.305,-0.268,0.17,0.304
38,DARS2,Q6PI48,0.965197021,2.14e-07,1.54e-07,0.874197751,0.816343911,0.959,0.0267,0.0182,0.982,0.975,0.00646,-1.23,-1.26,-0.0234,0.0344
39,DHX57,Q6P158,0.452808441,2.13e-08,1.15e-07,0.722987729,0.762131503,0.904,0.00568,0.015,0.979,0.973,0.106,1.37,1.22,-0.0496,0.0423
40,DLD,P09622,0.001968629,0.418815914,0.245495906,0.120042211,0.854593226,0.00853,0.902,0.907,0.886,0.976,-0.839,-0.189,0.275,-0.374,-0.0425
41,DNAL4,O96015,0.317159621,5.85e-08,1.49e-08,0.92757366,0.623800322,0.857,0.0117,0.00327,0.983,0.967,-0.524,4.72,5.19,-0.0469,-0.254
42,DOCK7,Q96N67,0.016004404,3.57e-07,8.42e-08,0.094613179,0.277739427,0.138,0.0368,0.0125,0.857,0.931,-1.02,3.1,3.44,-0.674,-0.427
43,EEF2,P13639,0.998689241,3.49e-08,3.84e-08,0.948357066,0.689890503,0.961,0.0083,0.00717,0.984,0.97,-0.00027,1.56,1.55,-0.0106,-0.0657
44,EGFR,P00533,0.842757429,2.93e-10,7.5e-10,0.554525251,0.570634344,0.952,3.78e-05,9.73e-05,0.973,0.965,0.0815,5.39,5.07,-0.244,-0.234
45,EIF2AK2,P19525,0.174890069,7.23e-07,4.46e-07,0.106956161,0.402602374,0.73,0.0571,0.0354,0.873,0.951,0.147,0.799,0.829,0.176,0.0889
46,EIF3G,O75821,0.052710336,0.000468654,2.78e-07,0.080703168,0.131839456,0.33,0.527,0.0263,0.834,0.864,-0.197,0.41,0.783,0.176,0.15
47,EPB41L3,Q9Y2J2,0.599232244,1.36e-09,2.62e-09,0.305146122,0.263049573,0.93,0.000296,0.000553,0.953,0.928,-0.0836,1.88,1.8,-0.165,-0.181
48,EPB41L4B,Q9H329,0.437360599,2.01e-08,1.28e-07,0.661552013,0.796955104,0.9,0.00546,0.0161,0.977,0.974,0.322,4.06,3.56,-0.181,-0.106
49,EPB41L5,Q9HCM4,0.032512855,5.36e-08,3.36e-09,0.73117353,0.386521448,0.235,0.011,0.000725,0.979,0.949,-0.929,3.72,4.51,-0.139,-0.354
50,ERBIN,Q96RT1,0.02861348,1.49e-08,4.78e-09,0.136476104,0.303631873,0.219,0.00444,0.00106,0.899,0.937,-0.822,3.51,3.79,-0.536,-0.364
51,ERH,P84090,0.324865266,2e-07,2.77e-06,0.601276254,0.035227317,0.861,0.0257,0.0958,0.975,0.591,-0.213,-1.79,-1.46,0.112,0.482
52,ESPL1,Q14674,0.000697728,1.6e-05,4.39e-05,0.000236139,0.000595037,0.00155,0.213,0.316,0.00439,0.0185,1.53,-2.2,-2.02,1.71,1.55
53,ESYT1,Q9BSJ8,0.880960603,1.12e-07,3.64e-07,0.387952642,0.312146939,0.955,0.0178,0.031,0.962,0.938,-0.0196,1.14,1.05,-0.114,-0.134
54,FASN,P49327,0.809791707,1.09e-07,2.56e-06,0.048085676,0.231710838,0.95,0.0175,0.0925,0.737,0.919,-0.0195,0.709,0.558,-0.17,-0.0991
