X,GeneID,logFC_CK1a.ctrl,adjpval_CK1a.ctrl,logFC_CK1aL.ctrl,adjpval_CK1aL.ctrl,logFC_CK1e.ctrl,adjpval_CK1e.ctrl,logFC_CK1d.ctrl,adjpval_CK1d.ctrl,logFC_DVL3.ctrl,adjpval_DVL3.ctrl,logFC_CK1a.wnt3a,adjpval_CK1a.wnt3a,logFC_CK1aL.wnt3a,adjpval_CK1aL.wnt3a,logFC_CK1d.wnt3a,adjpval_CK1d.wnt3a,logFC_CK1e.wnt3a,adjpval_CK1e.wnt3a,logFC_DVL3.wnt3a,adjpval_DVL3.wnt3a
1,A0A140TA62,3.486511843,8.55E-09,2.097501843,2.59E-05,2.283253781,5.26E-06,2.320543192,3.70E-06,2.576634925,4.67E-07,0.117193908,0.999147126,0.77705854,0.932428269,-0.2510252,0.999991444,0.382100483,0.969285799,-0.168637964,0.997070617
2,AAGAB,-2.32511626,0.029079748,-0.458625479,0.652669108,-3.04064069,0.002331167,-1.792135645,0.06265953,-0.918580739,0.344967658,-0.002332986,0.999147126,0.033614551,0.998328456,0.162115697,0.999991444,1.763272722,0.738549153,1.071911846,0.997070617
3,AAK1,0.007096596,0.974054683,0.26236055,0.168325788,0.600304391,0.001810961,-0.411221854,0.027013239,0.399017057,0.031241174,-0.167503419,0.999147126,-0.141586133,0.998328456,-0.00632361,0.999991444,-0.430636116,0.556215335,0.170828704,0.997070617
4,AAR2,0.775126747,0.252610242,-0.478509598,0.455508469,-0.16638945,0.798334699,0.005818761,0.992468143,-1.622799258,0.008550374,0.042092114,0.999147126,-0.207303976,0.998328456,0.471772913,0.999991444,0.357693122,0.994070948,0.437864831,0.997070617
5,AARS1,-0.967797492,0.139159627,-1.041850208,0.087414722,-1.120467468,0.05905396,-1.6890214,0.005277741,-2.061518983,0.00076597,0.648575418,0.999147126,-0.587774509,0.998328456,1.127553611,0.977641493,0.441508236,0.993534608,0.539887774,0.997070617
6,AASDH,-2.328569276,0.000150659,-2.894174392,1.79E-06,-1.990606282,0.000333087,-1.860496908,0.000668354,-3.004721847,5.01E-07,1.714811415,0.299412597,-0.000708686,0.99932903,0.050937318,0.999991444,0.50471112,0.94826547,-0.505684642,0.997070617
7,AASDHPPT,-2.84910831,0.004195651,-3.718985507,0.00012242,-3.679166806,0.000111691,-4.28621525,1.16E-05,-3.621434442,0.000108949,0.002277149,0.999147126,0.961473244,0.998328456,0.313455468,0.999991444,-0.655629977,0.993534608,0.148018081,0.997070617
8,AATF,-2.106020748,0.045068752,-1.999458051,0.041484461,-2.149030105,0.024790223,-2.433004733,0.01156654,-3.789672676,0.000156332,0.290969396,0.999147126,1.240680286,0.998328456,0.349611339,0.999991444,-0.702624932,0.994070948,0.68170347,0.997070617
9,ABCA12,1.990259664,0.016376437,1.981477697,0.0110028,1.617052003,0.031524288,0.991930909,0.18430134,0.382409976,0.618285248,0.378723052,0.999147126,0.077073032,0.998328456,0.36756605,0.999991444,-0.488334455,0.994070948,-0.015551909,0.997070617
10,ABCD3,-1.692389705,0.010638867,-1.764752042,0.004742336,-1.752265442,0.00424005,-1.632897912,0.007031603,-2.802155299,1.51E-05,0.255577981,0.999147126,-0.384470535,0.998328456,0.052633877,0.999991444,-0.51532685,0.969285799,-0.679598002,0.997070617
