"","dataset","acquisition","responsible_person","PRIDE","analysis","note","type"
"1","2006_RNF43","DDA","Tomek","PXD020478","KNIME","","default"
"2","2006_RNF122","DDA","Tomek","-","KNIME","qualitative hits reported separately, check the source file on server","default"
"3","2006_RNFT2","DDA","Tomek","-","KNIME","","default"
"4","2434_2660","DDA","Tomek","PXD039259","DEP","","default"
"5","2999","DDA","Marek","PXD034237, PXD033548","KNIME","log2, norm; check source for imp","default"
"6","3019","DDA","Tomek/PetaP","-","DEP","","default"
"7","3676","DDA","Vendy","PXD041751","R","no stats done","noStats"
"8","4310_CK1s","DDA","Tomas","-","DEP","batch correction","default"
"9","4310_FZDs","DDA","Tomas","-","DEP","batch correction","default"
"10","4453_DDA","DDA","Tomas","-","DEP","interaction limma","default"
"11","4453_DIA","DIA","Tomas","-","KNIME","","default"
