X,MajorityProteinIDs,ProteinNames,GeneID,logFC_RNF122.CTRL,adjpval_RNF122.CTRL
1,A0A1B0GTU1;O75152,Zinc finger CCCH domain-containing protein 11A,ZC3H11A,-5.33E-15,1
2,B2RNG4,?,TRIM6-TRIM34,-5.33E-15,1
3,O00264,Membrane-associated progesterone receptor component 1,PGRMC1,1.18076766,0.531409227
4,O15230,Laminin subunit alpha-5,LAMA5,-5.33E-15,1
5,O15504,Nucleoporin-like protein 2,NUP42,-5.33E-15,1
6,O60493,Sorting nexin-3,SNX3,-5.33E-15,1
7,O60566,Mitotic checkpoint serine/threonine-protein kinase BUB1 beta,BUB1B,1.066456005,0.531409227
8,O75352,Mannose-P-dolichol utilization defect 1 protein,MPDU1,0.692002349,0.531409227
9,P00533,Epidermal growth factor receptor,EGFR,-5.33E-15,1
10,P20929,Nebulin,NEB,-5.33E-15,1
11,P33240,Cleavage stimulation factor subunit 2,CSTF2,-5.33E-15,1
12,P62280,40S ribosomal protein S11,RPS11,-5.33E-15,1
13,P82094,TATA element modulatory factor,TMF1,1.443970796,0.531409227
14,Q13049,E3 ubiquitin-protein ligase TRIM32,TRIM32,-5.33E-15,1
15,Q13492,Phosphatidylinositol-binding clathrin assembly protein,PICALM,1.050749268,0.531409227
16,Q6ZNB6,NF-X1-type zinc finger protein NFXL1,NFXL1,0.962903899,0.531409227
17,Q6ZU52,Uncharacterized protein KIAA0408,KIAA0408,-5.33E-15,1
18,Q8NHB1,Olfactory receptor 2V1,OR2V1,-5.33E-15,1
19,Q8TBZ5,Zinc finger protein 502,ZNF502,-5.33E-15,1
20,Q8WZ42,Titin,TTN,-5.33E-15,1
21,Q92995,Ubiquitin carboxyl-terminal hydrolase 13,USP13,1.053838736,0.531409227
22,Q99996,A-kinase anchor protein 9,AKAP9,0.36837248,0.531409227
23,Q9H3U1,Protein unc-45 homolog A,UNC45A,1.423559496,0.531409227
24,Q9H7Y0,Deleted in autism-related protein 1,DIPK2B,-5.33E-15,1
25,Q9HD20,Manganese-transporting ATPase 13A1,ATP13A1,-5.33E-15,1
26,Q9NRA8,Eukaryotic translation initiation factor 4E transporter,EIF4ENIF1,-5.33E-15,1
27,Q9P0L1,Zinc finger protein with KRAB and SCAN domains 7,ZKSCAN7,-5.33E-15,1
28,Q9UID3,Vacuolar protein sorting-associated protein 51 homolog,VPS51,0.94329979,0.531409227
29,Q9UPQ9,Trinucleotide repeat-containing gene 6B protein,TNRC6B,0.814886658,0.531409227
30,Q9Y2H0,Disks large-associated protein 4,DLGAP4,-5.33E-15,1
31,Q9Y3P4,Rhomboid domain-containing protein 3,RHBDD3,1.457447837,0.531409227
32,Q9Y4J8,Dystrobrevin alpha,DTNA,0.087970795,0.547765515
33,A6NKL6,Transmembrane protein 200C,TMEM200C,0.625033949,1
34,O00571,ATP-dependent RNA helicase DDX3X,DDX3X,3.183825532,0.01847803
35,O00763,Acetyl-CoA carboxylase 2;Biotin carboxylase,ACACB,-1.873871399,0.105503942
36,O14545,TRAF-type zinc finger domain-containing protein 1,TRAFD1,2.190024359,0.025999139
