X,MajorityProteinIDs,ProteinNames,GeneID,DVL3_1,DVL3_2,DVL3_3,DVL3_M_1,DVL3_M_2,DVL3_M_3,DVL3_M_TTLL_1,DVL3_M_TTLL_2,DVL3_M_TTLL_3,DVL3_TTLL_1,DVL3_TTLL_2,DVL3_TTLL_3,logFC_DVL3_TTLL.DVL3,pval_DVL3_TTLL.DVL3,adjpval_DVL3_TTLL.DVL3,logFC_DVL3_M.DVL3,pval_DVL3_M.DVL3,adjpval_DVL3_M.DVL3,logFC_DVL3_M_TTLL.DVL3_TTLL,pval_DVL3_M_TTLL.DVL3_TTLL,adjpval_DVL3_M_TTLL.DVL3_TTLL,logFC_DVL3_M_TTLL.DVL3_M,pval_DVL3_M_TTLL.DVL3_M,adjpval_DVL3_M_TTLL.DVL3_M
1,A0A075B6K5;P80748,Ig lambda chain V-III region LOI,IGLV3-9,20.40402093,20.36811189,20.34986911,20.913091,20.23728929,20.09398925,NA,19.54679321,20.27716634,NA,20.41810169,20.91374211,-1.014441667,0.407596121,0.697541378,0.040789202,0.972879942,1,-0.502628084,0.676861895,0.942933442,-1.557858953,0.21536538,0.86064992
2,A2NJV5;A0A0A0MRZ7;A0A075B6S2;A0A075B6S6;A0A075B6P5;A0A087WW87;P06310;P01615;P01614,Ig kappa chain V-II region RPMI 6410;Ig kappa chain V-II region FR;Ig kappa chain V-II region Cum,IGKV A18;IGKV2D-26;IGKV2D-29;IGKV2D-30;IGKV2D-28;IGKV2-40,21.60137787,21.94139752,21.06875852,22.20137018,21.21088198,20.37175009,20.34178435,21.31951871,20.9672179,22.35925585,21.1274321,21.34532771,0.073493919,0.889823123,1,-0.275843886,0.60580662,0.949222203,-0.734498236,0.188876117,0.485182797,-0.385160431,0.474459648,0.951200353
3,A0A0A6YYC7;Q96JP5,E3 ubiquitin-protein ligase ZFP91,ZFP91-CNTF;ZFP91,NA,19.34506436,18.91966822,NA,NA,NA,NA,19.33666456,19.18785741,NA,NA,18.16321832,-1.118227047,0.223450763,0.526434848,-1.590355447,0.09629351,0.641738154,1.204823512,0.19259826,0.490713694,1.676951912,0.081988907,0.791027875
4,A0A0A6YYL6;P18621,60S ribosomal protein L17,RPL17-C18orf32;RPL17,27.19104427,27.16122856,26.68547747,27.31829323,27.25584678,27.22231307,26.98292368,27.13538656,26.96963452,26.85070203,26.82809271,26.67559712,-0.227786147,0.132564914,0.434887506,0.252900926,0.099676644,0.641738154,0.244517636,0.109702194,0.380159126,-0.236169436,0.120611483,0.825251889
5,A0A0B4J1V8;Q9NQ55,Suppressor of SWI4 1 homolog,PPAN-P2RY11;PPAN,20.53340589,19.54070498,18.62747577,19.47438591,20.89505496,20.75300462,20.04620408,20.16484236,20.53161608,NA,NA,19.259304,-1.982872133,0.028173244,0.239760053,0.806952951,0.313442057,0.776467353,2.66323076,0.00675448,0.098254115,-0.126594324,0.870540014,1
6,A0FGR8,Extended synaptotagmin-2,ESYT2,21.83028713,22.49045476,22.60944909,21.95606429,21.0084636,21.21599355,21.981533,21.76225021,21.92946009,20.81839648,21.34393068,22.78136572,-0.662166032,0.200690621,0.489403443,-0.91655651,0.088688883,0.641328283,0.243183475,0.623778181,0.890846762,0.497573953,0.326231627,0.910181204
7,A3KMH1,von Willebrand factor A domain-containing protein 8,VWA8,20.98083646,21.13141195,NA,NA,NA,20.03497448,NA,19.29106728,19.9184376,NA,NA,20.23719302,-1.709407423,0.31410256,0.631740036,-1.776813603,0.296535084,0.775375638,0.741826244,0.654289969,0.920716256,0.809232424,0.625587988,1
8,Q7Z3J3;A6NKT7,RanBP2-like and GRIP domain-containing protein 4;RanBP2-like and GRIP domain-containing protein 3,RGPD4;RGPD3,NA,NA,NA,NA,19.50575054,NA,NA,NA,NA,NA,NA,NA,0,1,1,0.919639141,0.177237265,0.699416417,0,1,1,-0.919639141,0.177237265,0.825251889
9,P07355;A6NMY6,Annexin A2;Putative annexin A2-like protein,ANXA2;ANXA2P2,NA,NA,NA,NA,NA,18.61719653,19.43903812,20.31855917,NA,NA,20.67111033,20.78755696,2.655000351,0.060981337,0.318036592,0.623454469,0.62605322,0.9653923,-0.567023334,0.657239827,0.922791272,1.464522548,0.266837616,0.909328605
10,A8CG34;Q96HA1,Nuclear envelope pore membrane protein POM 121C;Nuclear envelope pore membrane protein POM 121,POM121C;POM121,19.36492219,19.93398762,NA,NA,NA,19.53030012,NA,NA,NA,NA,NA,19.6943388,-0.952579297,0.423376066,0.712844494,-1.007258859,0.398300343,0.81127944,-0.982501895,0.409520835,0.708562385,-0.927822332,0.43508165,0.945866558
