X,MajorityProteinIDs,ProteinNames,GeneID,Intensity.T2.1,Intensity.T2.1NK,Intensity.T2.2,Intensity.T2.2NK,Intensity.T2.3,Intensity.T2.3NK,logFC_RNFT2.CTRL,pvalue_RNFT2.CTRL,adjpval_RNFT2.CTRL
1,Q13085,Acetyl-CoA carboxylase 1;Biotin carboxylase,ACACA,32.41172726,32.37236707,32.41882537,32.5811712,32.33469175,32.1503388,0.020455769,0.89051918,0.896283058
2,P11498,"Pyruvate carboxylase, mitochondrial",PC,31.58786942,31.87332739,31.5294496,31.92237671,31.93003082,32.02953204,-0.259295437,0.135544375,0.149748847
3,Q96RQ3,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",MCCC1,30.57144964,31.30513217,30.5347883,31.33680659,30.55994521,31.03771321,-0.671156269,0.002537281,0.003757593
4,Q9UBF2,Coatomer subunit gamma-2,COPG2,31.77890568,13.79020335,31.67855775,13.79020335,31.64275565,13.79020335,17.90986968,7.83e-11,3.08e-08
5,P05165,"Propionyl-CoA carboxylase alpha chain, mitochondrial",PCCA,30.39114744,31.31194219,30.46887088,31.45471254,30.54010384,31.0745332,-0.813688591,0.001892536,0.002836524
6,Q9ULE6,Paladin,PALD1,30.1404134,13.79020335,30.2541725,13.79020335,29.85429647,13.79020335,16.29275744,9.15e-10,3.35e-08
7,P50402,Emerin,EMD,29.16308927,13.79020335,29.20268954,19.62916401,29.11248455,13.79020335,13.42289755,0.000636641,0.000999977
8,P0DMV9;P0DMV8,Heat shock 70 kDa protein 1B;Heat shock 70 kDa protein 1A,HSPA1B;HSPA1A,28.28960352,21.29454846,28.23156936,23.91396058,28.38358288,20.82369676,6.290849992,0.00082658,0.001278938
9,Q96A33,Coiled-coil domain-containing protein 47,CCDC47,28.334614,20.53797642,28.25831291,20.94172535,28.12039983,19.69933291,7.844764018,3.37e-06,7.29e-06
10,O15027,Protein transport protein Sec16A,SEC16A,27.99165201,24.04331395,28.03603151,24.85042841,28.0130515,21.59010594,4.518962238,0.003890363,0.005693661
11,P11142,Heat shock cognate 71 kDa protein,HSPA8,27.82553736,25.61129044,27.69398443,26.44222751,28.17711728,24.29015249,2.450989543,0.008746529,0.012280679
12,Q7Z2W4,Zinc finger CCCH-type antiviral protein 1,ZC3HAV1,27.97562884,13.79020335,28.02079338,13.79020335,27.9934723,13.79020335,14.20642816,1.66e-10,3.08e-08
13,O95487,Protein transport protein Sec24B,SEC24B,27.87917391,13.79020335,27.92706602,17.96707274,27.54979741,17.97830682,11.20681814,0.000318699,0.000514886
14,Q9BSJ8,Extended synaptotagmin-1,ESYT1,27.59664832,13.79020335,27.7950633,13.79020335,27.56364989,13.79020335,13.86158382,5.87e-10,3.08e-08
